Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KAI","KADANT INC","Industrials","Equity","96,693,583.60","0.15","96,693,583.60","298,069.00","324.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIG","SIGNET JEWELERS LTD","Consumer Discretionary","Equity","95,648,650.54","0.15","95,648,650.54","1,085,806.00","88.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WK","WORKIVA INC CLASS A","Information Technology","Equity","95,497,028.43","0.15","95,497,028.43","1,284,771.00","74.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","95,277,559.60","0.15","95,277,559.60","5,539,393.00","17.20","United States","NASDAQ","USD","1.00","USD","-"
"ALE","ALLETE INC","Utilities","Equity","94,638,727.89","0.14","94,638,727.89","1,490,139.00","63.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","94,409,623.75","0.14","94,409,623.75","1,438,075.00","65.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","94,317,328.32","0.14","94,317,328.32","752,672.00","125.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","93,955,743.25","0.14","93,955,743.25","767,675.00","122.39","United States","NASDAQ","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","93,635,985.09","0.14","93,635,985.09","3,572,529.00","26.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","Financials","Equity","93,516,606.64","0.14","93,516,606.64","2,858,087.00","32.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MHO","M I HOMES INC","Consumer Discretionary","Equity","93,485,465.40","0.14","93,485,465.40","687,090.00","136.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","93,418,226.64","0.14","93,418,226.64","5,965,404.00","15.66","United States","NASDAQ","USD","1.00","USD","-"
"CBZ","CBIZ INC","Industrials","Equity","93,317,364.32","0.14","93,317,364.32","1,219,516.00","76.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCC","WARRIOR MET COAL INC","Materials","Equity","93,149,949.60","0.14","93,149,949.60","1,315,120.00","70.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HP","HELMERICH & PAYNE INC","Energy","Equity","93,122,002.40","0.14","93,122,002.40","2,476,649.00","37.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","92,998,040.46","0.14","92,998,040.46","2,993,178.00","31.07","United States","NASDAQ","USD","1.00","USD","-"
"TEX","TEREX CORP","Industrials","Equity","92,423,867.50","0.14","92,423,867.50","1,692,125.00","54.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WHD","CACTUS INC CLASS A","Energy","Equity","92,391,156.74","0.14","92,391,156.74","1,659,622.00","55.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KTB","KONTOOR BRANDS INC","Consumer Discretionary","Equity","92,373,401.93","0.14","92,373,401.93","1,414,817.00","65.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OTTR","OTTER TAIL CORP","Utilities","Equity","92,157,429.80","0.14","92,157,429.80","1,049,390.00","87.82","United States","NASDAQ","USD","1.00","USD","-"
"LANC","LANCASTER COLONY CORP","Consumer Staples","Equity","92,044,787.25","0.14","92,044,787.25","493,935.00","186.35","United States","NASDAQ","USD","1.00","USD","-"
"NEOG","NEOGEN CORP","Health Care","Equity","90,904,986.55","0.14","90,904,986.55","5,526,139.00","16.45","United States","NASDAQ","USD","1.00","USD","-"
"STNG","SCORPIO TANKERS INC","Energy","Equity","90,855,616.14","0.14","90,855,616.14","1,189,054.00","76.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KFY","KORN FERRY","Industrials","Equity","90,534,994.08","0.14","90,534,994.08","1,340,068.00","67.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRC","CALIFORNIA RESOURCES CORP","Energy","Equity","90,195,537.80","0.14","90,195,537.80","1,754,777.00","51.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMS","GMS INC","Industrials","Equity","90,152,025.37","0.14","90,152,025.37","1,028,311.00","87.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYNA","SYNAPTICS INC","Information Technology","Equity","89,924,847.36","0.14","89,924,847.36","987,968.00","91.02","United States","NASDAQ","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","89,850,494.19","0.14","89,850,494.19","3,470,471.00","25.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MC","MOELIS CLASS A","Financials","Equity","89,757,796.14","0.14","89,757,796.14","1,470,957.00","61.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","89,447,794.73","0.14","89,447,794.73","1,640,341.00","54.53","United States","NASDAQ","USD","1.00","USD","-"
"CLSK","CLEANSPARK INC","Information Technology","Equity","89,285,792.05","0.14","89,285,792.05","5,633,173.00","15.85","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","88,546,620.82","0.14","88,546,620.82","14,708,741.00","6.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNM","PNM RESOURCES INC","Utilities","Equity","88,349,613.66","0.13","88,349,613.66","2,282,346.00","38.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBH","PRESTIGE CONSUMER HEALTHCARE INC","Health Care","Equity","88,199,255.66","0.13","88,199,255.66","1,253,899.00","70.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SFBS","SERVISFIRST BANCSHARES INC","Financials","Equity","88,196,279.22","0.13","88,196,279.22","1,288,854.00","68.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMR","ALPHA METALLURGICAL RESOURCE INC","Materials","Equity","88,116,941.50","0.13","88,116,941.50","279,293.00","315.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXNX","AXONICS INC","Health Care","Equity","87,817,272.00","0.13","87,817,272.00","1,295,240.00","67.80","United States","NASDAQ","USD","1.00","USD","-"
"IBOC","INTERNATIONAL BANCSHARES CORP","Financials","Equity","87,046,309.44","0.13","87,046,309.44","1,424,187.00","61.12","United States","NASDAQ","USD","1.00","USD","-"
"LBRT","LIBERTY ENERGY INC CLASS A","Energy","Equity","87,040,604.25","0.13","87,040,604.25","4,115,395.00","21.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALIT","ALIGHT INC CLASS A","Industrials","Equity","86,814,596.61","0.13","86,814,596.61","12,108,033.00","7.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APLE","APPLE HOSPITALITY REIT INC","Real Estate","Equity","86,466,837.90","0.13","86,466,837.90","5,942,738.00","14.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","86,224,702.42","0.13","86,224,702.42","5,577,277.00","15.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AX","AXOS FINANCIAL INC","Financials","Equity","86,146,168.66","0.13","86,146,168.66","1,388,111.00","62.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLNG","GOLAR LNG LTD","Energy","Equity","86,137,427.92","0.13","86,137,427.92","2,513,127.00","34.27","Norway","NASDAQ","USD","1.00","USD","-"
"ASB","ASSOCIATED BANCORP","Financials","Equity","85,977,617.22","0.13","85,977,617.22","3,947,549.00","21.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","85,888,647.60","0.13","85,888,647.60","1,381,735.00","62.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AROC","ARCHROCK INC","Energy","Equity","85,622,515.04","0.13","85,622,515.04","3,949,378.00","21.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DYN","DYNE THERAPEUTICS INC","Health Care","Equity","85,217,233.00","0.13","85,217,233.00","2,051,450.00","41.54","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","85,169,477.04","0.13","85,169,477.04","3,029,864.00","28.11","United States","NASDAQ","USD","1.00","USD","-"
"SKYW","SKYWEST INC","Industrials","Equity","85,057,969.59","0.13","85,057,969.59","1,019,513.00","83.43","United States","NASDAQ","USD","1.00","USD","-"
"BXMT","BLACKSTONE MORTGAGE TRUST REIT CLA","Financials","Equity","84,914,612.48","0.13","84,914,612.48","4,497,596.00","18.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMPL","THE SIMPLY GOOD FOODS COMPANY","Consumer Staples","Equity","84,652,009.26","0.13","84,652,009.26","2,309,111.00","36.66","United States","NASDAQ","USD","1.00","USD","-"
"PRMW","PRIMO WATER CORP","Consumer Staples","Equity","84,293,464.63","0.13","84,293,464.63","4,050,623.00","20.81","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSP","INSPERITY INC","Industrials","Equity","84,111,974.92","0.13","84,111,974.92","910,697.00","92.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IIPR","INNOVATIVE INDUSTRIAL PROPERTIES I","Real Estate","Equity","83,941,510.80","0.13","83,941,510.80","723,135.00","116.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TNET","TRINET GROUP INCINARY","Industrials","Equity","83,570,466.80","0.13","83,570,466.80","826,040.00","101.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SXT","SENSIENT TECHNOLOGIES CORP","Materials","Equity","83,358,237.69","0.13","83,358,237.69","1,064,193.00","78.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABM","ABM INDUSTRIES INC","Industrials","Equity","83,300,206.32","0.13","83,300,206.32","1,624,419.00","51.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDYA","IDEAYA BIOSCIENCES INC","Health Care","Equity","83,135,800.00","0.13","83,135,800.00","2,078,395.00","40.00","United States","NASDAQ","USD","1.00","USD","-"
"WD","WALKER & DUNLOP INC","Financials","Equity","82,946,854.51","0.13","82,946,854.51","831,881.00","99.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NPO","ENPRO INC","Industrials","Equity","82,650,922.40","0.13","82,650,922.40","533,576.00","154.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDFC","WD-40","Consumer Staples","Equity","82,538,787.26","0.13","82,538,787.26","344,098.00","239.87","United States","NASDAQ","USD","1.00","USD","-"
"CNO","CNO FINANCIAL GROUP INC","Financials","Equity","82,400,041.12","0.13","82,400,041.12","2,833,564.00","29.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GT","GOODYEAR TIRE & RUBBER","Consumer Discretionary","Equity","82,125,524.15","0.13","82,125,524.15","7,235,729.00","11.35","United States","NASDAQ","USD","1.00","USD","-"
"OSCR","OSCAR HEALTH INC CLASS A","Financials","Equity","82,046,745.20","0.13","82,046,745.20","4,966,510.00","16.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHAK","SHAKE SHACK INC CLASS A","Consumer Discretionary","Equity","81,833,674.41","0.12","81,833,674.41","965,817.00","84.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BNL","BROADSTONE NET LEASE INC","Real Estate","Equity","81,727,759.08","0.12","81,727,759.08","4,856,076.00","16.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHOO","STEVEN MADDEN LTD","Consumer Discretionary","Equity","81,718,339.72","0.12","81,718,339.72","1,834,718.00","44.54","United States","NASDAQ","USD","1.00","USD","-"
"BLKB","BLACKBAUD INC","Information Technology","Equity","81,304,850.54","0.12","81,304,850.54","1,050,586.00","77.39","United States","NASDAQ","USD","1.00","USD","-"
"NWE","NORTHWESTERN ENERGY GROUP INC","Utilities","Equity","80,922,112.74","0.12","80,922,112.74","1,574,973.00","51.38","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS INC","Information Technology","Equity","80,896,014.36","0.12","80,896,014.36","1,230,732.00","65.73","United States","NASDAQ","USD","1.00","USD","-"
"PCH","POTLATCHDELTIC CORP","Real Estate","Equity","80,719,429.50","0.12","80,719,429.50","2,033,235.00","39.70","United States","NASDAQ","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","80,689,129.92","0.12","80,689,129.92","10,963,197.00","7.36","United States","NASDAQ","USD","1.00","USD","-"
"RXO","RXO INC","Industrials","Equity","80,381,852.00","0.12","80,381,852.00","2,966,120.00","27.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HGV","HILTON GRAND VACATIONS INC","Consumer Discretionary","Equity","79,610,152.38","0.12","79,610,152.38","1,887,391.00","42.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","79,322,540.66","0.12","79,322,540.66","3,775,466.00","21.01","United States","NASDAQ","USD","1.00","USD","-"
"AUR","AURORA INNOVATION INC CLASS A","Information Technology","Equity","79,215,146.30","0.12","79,215,146.30","21,409,499.00","3.70","United States","NASDAQ","USD","1.00","USD","-"
"TCBI","TEXAS CAPITAL BANCSHARES INC","Financials","Equity","78,862,581.28","0.12","78,862,581.28","1,226,288.00","64.31","United States","NASDAQ","USD","1.00","USD","-"
"IOSP","INNOSPEC INC","Materials","Equity","78,213,871.86","0.12","78,213,871.86","627,166.00","124.71","United States","NASDAQ","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","78,157,175.68","0.12","78,157,175.68","1,462,522.00","53.44","United States","NASDAQ","USD","1.00","USD","-"
"CVCO","CAVCO INDUSTRIES INC","Consumer Discretionary","Equity","78,124,914.62","0.12","78,124,914.62","209,782.00","372.41","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","77,853,201.76","0.12","77,853,201.76","643,096.00","121.06","United States","NASDAQ","USD","1.00","USD","-"
"FOLD","AMICUS THERAPEUTICS INC","Health Care","Equity","77,375,208.57","0.12","77,375,208.57","7,432,777.00","10.41","United States","NASDAQ","USD","1.00","USD","-"
"NHI","NATIONAL HEALTH INVESTORS REIT INC","Real Estate","Equity","77,264,115.50","0.12","77,264,115.50","1,080,617.00","71.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BGC","BGC GROUP INC CLASS A","Financials","Equity","76,950,020.04","0.12","76,950,020.04","8,446,764.00","9.11","United States","NASDAQ","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","76,873,784.52","0.12","76,873,784.52","3,742,638.00","20.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","76,854,395.31","0.12","76,854,395.31","927,857.00","82.83","United States","NASDAQ","USD","1.00","USD","-"
"PLXS","PLEXUS CORP","Information Technology","Equity","76,521,043.20","0.12","76,521,043.20","691,872.00","110.60","United States","NASDAQ","USD","1.00","USD","-"
"MWA","MUELLER WATER PRODUCTS INC SERIES","Industrials","Equity","76,445,561.25","0.12","76,445,561.25","3,950,675.00","19.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","76,300,965.00","0.12","76,300,965.00","652,145.00","117.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URBN","URBAN OUTFITTERS INC","Consumer Discretionary","Equity","76,271,754.26","0.12","76,271,754.26","1,634,278.00","46.67","United States","NASDAQ","USD","1.00","USD","-"
"VC","VISTEON CORP","Consumer Discretionary","Equity","76,249,149.60","0.12","76,249,149.60","691,665.00","110.24","United States","NASDAQ","USD","1.00","USD","-"
"IRTC","IRHYTHM TECHNOLOGIES INC","Health Care","Equity","76,237,212.11","0.12","76,237,212.11","792,569.00","96.19","United States","NASDAQ","USD","1.00","USD","-"
"CWT","CALIFORNIA WATER SERVICE GROUP","Utilities","Equity","76,223,298.48","0.12","76,223,298.48","1,463,581.00","52.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HI","HILLENBRAND INC","Industrials","Equity","76,130,834.12","0.12","76,130,834.12","1,783,759.00","42.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Industrials","Equity","75,874,334.00","0.12","75,874,334.00","801,800.00","94.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TNDM","TANDEM DIABETES CARE INC","Health Care","Equity","75,691,075.06","0.12","75,691,075.06","1,642,958.00","46.07","United States","NASDAQ","USD","1.00","USD","-"
"SITC","SITE CENTERS CORP","Real Estate","Equity","75,526,712.25","0.12","75,526,712.25","4,959,075.00","15.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDP","COPT DEFENSE PROPERTIES","Real Estate","Equity","75,418,259.76","0.12","75,418,259.76","2,882,961.00","26.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEIX","CONSOL ENERGY INC","Energy","Equity","75,239,055.50","0.11","75,239,055.50","742,735.00","101.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS INC","Health Care","Equity","75,192,630.24","0.11","75,192,630.24","3,548,496.00","21.19","United States","NASDAQ","USD","1.00","USD","-"
"BTU","PEABODY ENERGY CORP","Energy","Equity","74,825,185.16","0.11","74,825,185.16","3,254,684.00","22.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SKT","TANGER INC","Real Estate","Equity","74,801,416.27","0.11","74,801,416.27","2,732,971.00","27.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRCT","PROCEPT BIOROBOTICS CORP","Health Care","Equity","74,681,628.00","0.11","74,681,628.00","1,076,880.00","69.35","United States","NASDAQ","USD","1.00","USD","-"
"VSH","VISHAY INTERTECHNOLOGY INC","Information Technology","Equity","74,485,601.63","0.11","74,485,601.63","3,209,203.00","23.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRN","STRIDE INC","Consumer Discretionary","Equity","74,399,013.00","0.11","74,399,013.00","1,084,850.00","68.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","74,285,935.08","0.11","74,285,935.08","2,076,186.00","35.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RRR","RED ROCK RESORTS ORS CLASS A INC","Consumer Discretionary","Equity","74,188,149.75","0.11","74,188,149.75","1,259,775.00","58.89","United States","NASDAQ","USD","1.00","USD","-"
"ZETA","ZETA GLOBAL HOLDINGS CORP CLASS A","Information Technology","Equity","74,070,031.16","0.11","74,070,031.16","4,194,226.00","17.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGEE","MGE ENERGY INC","Utilities","Equity","73,941,396.17","0.11","73,941,396.17","924,383.00","79.99","United States","NASDAQ","USD","1.00","USD","-"
"NMIH","NMI HOLDINGS INC","Financials","Equity","73,625,130.88","0.11","73,625,130.88","2,070,448.00","35.56","United States","NASDAQ","USD","1.00","USD","-"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","Information Technology","Equity","73,513,984.00","0.11","73,513,984.00","1,400,800.00","52.48","United States","NASDAQ","USD","1.00","USD","-"
"ADMA","ADMA BIOLOGICS INC","Health Care","Equity","73,446,736.68","0.11","73,446,736.68","5,747,006.00","12.78","United States","NASDAQ","USD","1.00","USD","-"
"NARI","INARI MEDICAL INC","Health Care","Equity","73,162,841.78","0.11","73,162,841.78","1,344,658.00","54.41","United States","NASDAQ","USD","1.00","USD","-"
"BHVN","BIOHAVEN LTD","Health Care","Equity","72,803,169.14","0.11","72,803,169.14","1,911,346.00","38.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCOI","COGENT COMMUNICATIONS HOLDINGS INC","Communication","Equity","72,592,147.08","0.11","72,592,147.08","1,117,146.00","64.98","United States","NASDAQ","USD","1.00","USD","-"
"LXP","LXP INDUSTRIAL TRUST","Real Estate","Equity","72,585,196.74","0.11","72,585,196.74","7,459,938.00","9.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWR","AMERICAN STATES WATER","Utilities","Equity","72,441,393.75","0.11","72,441,393.75","934,125.00","77.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWTX","SPRINGWORKS THERAPEUTICS INC","Health Care","Equity","72,318,933.12","0.11","72,318,933.12","1,745,148.00","41.44","United States","NASDAQ","USD","1.00","USD","-"
"AVA","AVISTA CORP","Utilities","Equity","72,313,452.05","0.11","72,313,452.05","2,005,921.00","36.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARCH","ARCH RESOURCES INC CLASS A","Materials","Equity","72,247,155.38","0.11","72,247,155.38","446,687.00","161.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","72,150,937.74","0.11","72,150,937.74","3,156,209.00","22.86","United States","NASDAQ","USD","1.00","USD","-"
"UCBI","UNITED COMMUNITY BANKS INC","Financials","Equity","71,971,821.00","0.11","71,971,821.00","2,665,623.00","27.00","United States","NASDAQ","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","71,957,240.64","0.11","71,957,240.64","1,128,564.00","63.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","71,864,496.48","0.11","71,864,496.48","1,365,207.00","52.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","71,596,535.40","0.11","71,596,535.40","466,731.00","153.40","United States","NASDAQ","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","71,236,903.14","0.11","71,236,903.14","1,127,523.00","63.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIVN","LIVANOVA PLC","Health Care","Equity","71,189,251.71","0.11","71,189,251.71","1,384,197.00","51.43","United States","NASDAQ","USD","1.00","USD","-"
"FBP","FIRST BANCORP","Financials","Equity","70,903,646.64","0.11","70,903,646.64","3,733,736.00","18.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATGE","ADTALEM GLOBAL EDUCATION INC","Consumer Discretionary","Equity","70,635,821.08","0.11","70,635,821.08","993,751.00","71.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","70,607,676.92","0.11","70,607,676.92","5,054,236.00","13.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BL","BLACKLINE INC","Information Technology","Equity","70,351,996.28","0.11","70,351,996.28","1,465,972.00","47.99","United States","NASDAQ","USD","1.00","USD","-"
"PFSI","PENNYMAC FINANCIAL SERVICES INC","Financials","Equity","70,134,160.12","0.11","70,134,160.12","700,501.00","100.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSFS","WSFS FINANCIAL CORP","Financials","Equity","70,016,700.05","0.11","70,016,700.05","1,415,909.00","49.45","United States","NASDAQ","USD","1.00","USD","-"
"RUSHA","RUSH ENTERPRISES INC CLASS A","Industrials","Equity","69,985,962.40","0.11","69,985,962.40","1,548,362.00","45.20","United States","NASDAQ","USD","1.00","USD","-"
"NYCB","NEW YORK COMMUNITY BANCORP INC","Financials","Equity","69,804,181.71","0.11","69,804,181.71","6,340,071.00","11.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","69,777,049.66","0.11","69,777,049.66","1,394,983.00","50.02","United States","NASDAQ","USD","1.00","USD","-"
"FULT","FULTON FINANCIAL CORP","Financials","Equity","69,767,632.71","0.11","69,767,632.71","4,007,331.00","17.41","United States","NASDAQ","USD","1.00","USD","-"
"MTX","MINERALS TECHNOLOGIES INC","Materials","Equity","69,581,581.90","0.11","69,581,581.90","820,054.00","84.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PJT","PJT PARTNERS INC CLASS A","Financials","Equity","69,516,304.95","0.11","69,516,304.95","614,373.00","113.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BUR","BURFORD CAPITAL LTD","Financials","Equity","69,316,184.28","0.11","69,316,184.28","5,089,294.00","13.62","United Kingdom","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIN","ALBANY INTERNATIONAL CORP CLASS A","Industrials","Equity","69,070,933.89","0.11","69,070,933.89","788,571.00","87.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBG","HUB GROUP INC CLASS A","Industrials","Equity","68,990,669.06","0.11","68,990,669.06","1,551,398.00","44.47","United States","NASDAQ","USD","1.00","USD","-"
"GERN","GERON CORP","Health Care","Equity","68,823,410.19","0.11","68,823,410.19","14,612,189.00","4.71","United States","NASDAQ","USD","1.00","USD","-"
"FTDR","FRONTDOOR INC","Consumer Discretionary","Equity","68,785,783.25","0.11","68,785,783.25","1,979,447.00","34.75","United States","NASDAQ","USD","1.00","USD","-"
"ICUI","ICU MEDICAL INC","Health Care","Equity","68,779,032.96","0.11","68,779,032.96","545,952.00","125.98","United States","NASDAQ","USD","1.00","USD","-"
"ARCB","ARCBEST CORP","Industrials","Equity","68,714,573.20","0.10","68,714,573.20","598,559.00","114.80","United States","NASDAQ","USD","1.00","USD","-"
"LCII","LCI INDUSTRIES","Consumer Discretionary","Equity","68,403,496.90","0.10","68,403,496.90","629,287.00","108.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACLX","ARCELLX INC","Health Care","Equity","68,389,380.51","0.10","68,389,380.51","1,095,457.00","62.43","United States","NASDAQ","USD","1.00","USD","-"
"ENVX","ENOVIX CORP","Industrials","Equity","68,333,002.44","0.10","68,333,002.44","3,771,137.00","18.12","United States","NASDAQ","USD","1.00","USD","-"
