Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GKOS","GLAUKOS CORP","Health Care","Equity","150,829,704.00","0.23","150,829,704.00","1,245,600.00","121.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","149,021,483.49","0.23","149,021,483.49","1,446,951.00","102.99","United States","NASDAQ","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","148,212,004.64","0.23","148,212,004.64","8,161,454.00","18.16","United States","NASDAQ","USD","1.00","USD","-"
"ALTR","ALTAIR ENGINEERING INC CLASS A","Information Technology","Equity","146,421,541.00","0.22","146,421,541.00","1,460,564.00","100.25","United States","NASDAQ","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Information Technology","Equity","145,184,910.34","0.22","145,184,910.34","714,563.00","203.18","United States","NASDAQ","USD","1.00","USD","-"
"MARA","MARATHON DIGITAL HOLDINGS INC","Information Technology","Equity","144,408,119.02","0.22","144,408,119.02","6,952,726.00","20.77","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","143,656,545.27","0.22","143,656,545.27","744,373.00","192.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETRN","EQUITRANS MIDSTREAM CORP","Energy","Equity","143,137,862.19","0.22","143,137,862.19","11,019,081.00","12.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Consumer Discretionary","Equity","141,878,490.60","0.22","141,878,490.60","1,316,127.00","107.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","140,910,219.24","0.22","140,910,219.24","610,556.00","230.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COOP","MR COOPER GROUP INC","Financials","Equity","140,422,157.76","0.21","140,422,157.76","1,650,472.00","85.08","United States","NASDAQ","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS INC","Information Technology","Equity","140,168,200.80","0.21","140,168,200.80","2,834,544.00","49.45","United States","NASDAQ","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","138,420,603.36","0.21","138,420,603.36","1,525,464.00","90.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","136,639,307.21","0.21","136,639,307.21","1,110,979.00","122.99","United States","NASDAQ","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Industrials","Equity","136,137,755.76","0.21","136,137,755.76","1,551,958.00","87.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","135,930,833.28","0.21","135,930,833.28","818,466.00","166.08","United States","NASDAQ","USD","1.00","USD","-"
"HLNE","HAMILTON LANE INC CLASS A","Financials","Equity","134,858,177.08","0.21","134,858,177.08","981,572.00","137.39","United States","NASDAQ","USD","1.00","USD","-"
"CRS","CARPENTER TECHNOLOGY CORP","Materials","Equity","134,302,219.29","0.21","134,302,219.29","1,210,257.00","110.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","133,987,485.47","0.20","133,987,485.47","942,313.00","142.19","United States","NASDAQ","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","133,739,472.48","0.20","133,739,472.48","1,716,369.00","77.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATKR","ATKORE INC","Industrials","Equity","133,719,345.63","0.20","133,719,345.63","934,251.00","143.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","132,811,490.24","0.20","132,811,490.24","2,902,349.00","45.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXLS","EXLSERVICE HOLDINGS INC","Industrials","Equity","132,030,802.60","0.20","132,030,802.60","3,988,846.00","33.10","United States","NASDAQ","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","131,684,266.56","0.20","131,684,266.56","2,930,224.00","44.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBT","CABOT CORP","Materials","Equity","131,163,616.85","0.20","131,163,616.85","1,380,815.00","94.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","130,940,871.12","0.20","130,940,871.12","693,249.00","188.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","130,892,301.98","0.20","130,892,301.98","733,619.00","178.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBH","KB HOME","Consumer Discretionary","Equity","130,567,593.93","0.20","130,567,593.93","1,715,061.00","76.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","130,320,565.92","0.20","130,320,565.92","4,450,839.00","29.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","129,928,833.32","0.20","129,928,833.32","902,033.00","144.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","129,890,763.42","0.20","129,890,763.42","4,422,566.00","29.37","United States","NASDAQ","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS INC","Information Technology","Equity","129,636,392.94","0.20","129,636,392.94","3,010,599.00","43.06","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","129,442,989.48","0.20","129,442,989.48","723,226.00","178.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","128,010,088.44","0.20","128,010,088.44","630,188.00","203.13","United States","NASDAQ","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","127,927,674.42","0.20","127,927,674.42","515,879.00","247.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","127,805,760.00","0.20","127,805,760.00","5,547,125.00","23.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","127,467,832.60","0.19","127,467,832.60","445,910.00","285.86","United States","NASDAQ","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Industrials","Equity","126,787,149.72","0.19","126,787,149.72","1,278,354.00","99.18","United States","NASDAQ","USD","1.00","USD","-"
"BCC","BOISE CASCADE","Industrials","Equity","126,406,233.60","0.19","126,406,233.60","1,010,280.00","125.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","125,287,542.30","0.19","125,287,542.30","1,451,095.00","86.34","United States","NASDAQ","USD","1.00","USD","-"
"TDW","TIDEWATER INC","Energy","Equity","123,065,306.44","0.19","123,065,306.44","1,237,708.00","99.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACLS","AXCELIS TECHNOLOGIES INC","Information Technology","Equity","123,035,199.42","0.19","123,035,199.42","827,183.00","148.74","United States","NASDAQ","USD","1.00","USD","-"
"ITRI","ITRON INC","Information Technology","Equity","122,269,893.60","0.19","122,269,893.60","1,169,040.00","104.59","United States","NASDAQ","USD","1.00","USD","-"
"VAL","VALARIS LTD","Energy","Equity","122,043,640.88","0.19","122,043,640.88","1,589,938.00","76.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","121,980,074.04","0.19","121,980,074.04","4,910,631.00","24.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRRM","VERRA MOBILITY CORP CLASS A","Industrials","Equity","120,732,572.83","0.18","120,732,572.83","4,261,651.00","28.33","United States","NASDAQ","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","119,766,625.36","0.18","119,766,625.36","1,150,717.00","104.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SUM","SUMMIT MATERIALS INC CLASS A","Materials","Equity","118,683,547.45","0.18","118,683,547.45","3,094,747.00","38.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","117,398,589.92","0.18","117,398,589.92","1,968,784.00","59.63","United States","NASDAQ","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","117,099,918.40","0.18","117,099,918.40","2,608,016.00","44.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMDX","TRANSMEDICS GROUP INC","Health Care","Equity","115,716,923.61","0.18","115,716,923.61","813,819.00","142.19","United States","NASDAQ","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","115,520,169.60","0.18","115,520,169.60","2,931,984.00","39.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FUL","HB FULLER","Materials","Equity","115,511,206.92","0.18","115,511,206.92","1,393,212.00","82.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Health Care","Equity","115,263,140.58","0.18","115,263,140.58","1,272,501.00","90.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNA","AVIDITY BIOSCIENCES INC","Health Care","Equity","115,181,337.60","0.18","115,181,337.60","2,571,012.00","44.80","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","115,152,345.00","0.18","115,152,345.00","664,660.00","173.25","United States","NASDAQ","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","114,876,686.52","0.18","114,876,686.52","4,371,259.00","26.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","114,477,254.01","0.17","114,477,254.01","3,358,089.00","34.09","United States","NASDAQ","USD","1.00","USD","-"
"FELE","FRANKLIN ELECTRIC INC","Industrials","Equity","112,449,097.88","0.17","112,449,097.88","1,137,458.00","98.86","United States","NASDAQ","USD","1.00","USD","-"
"CADE","CADENCE BANK","Financials","Equity","112,355,902.75","0.17","112,355,902.75","3,776,669.00","29.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","112,198,111.20","0.17","112,198,111.20","1,553,130.00","72.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","111,997,658.16","0.17","111,997,658.16","2,506,662.00","44.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","111,935,314.96","0.17","111,935,314.96","3,693,016.00","30.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNF","KNIFE RIVER CORP","Materials","Equity","111,211,763.45","0.17","111,211,763.45","1,452,799.00","76.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASGN","ASGN INC","Information Technology","Equity","110,930,897.88","0.17","110,930,897.88","1,171,764.00","94.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","110,562,006.17","0.17","110,562,006.17","3,055,043.00","36.19","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","110,241,545.67","0.17","110,241,545.67","453,837.00","242.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSWI","CSW INDUSTRIALS INC","Industrials","Equity","109,424,404.32","0.17","109,424,404.32","392,568.00","278.74","United States","NASDAQ","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","109,296,508.77","0.17","109,296,508.77","2,204,003.00","49.59","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","109,253,369.50","0.17","109,253,369.50","2,721,130.00","40.15","United States","NASDAQ","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","108,448,671.60","0.17","108,448,671.60","868,284.00","124.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","108,056,936.50","0.17","108,056,936.50","948,950.00","113.87","United States","NASDAQ","USD","1.00","USD","-"
"ESGR","ENSTAR GROUP LTD","Financials","Equity","107,953,279.35","0.16","107,953,279.35","328,755.00","328.37","United States","NASDAQ","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","107,742,555.00","0.16","107,742,555.00","1,014,525.00","106.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBF","PBF ENERGY INC CLASS A","Energy","Equity","107,566,237.04","0.16","107,566,237.04","2,641,607.00","40.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRT","INDEPENDENCE REALTY INC TRUST","Real Estate","Equity","107,519,710.16","0.16","107,519,710.16","5,786,852.00","18.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Information Technology","Equity","107,165,719.96","0.16","107,165,719.96","1,426,214.00","75.14","United States","NASDAQ","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","107,070,338.40","0.16","107,070,338.40","1,234,952.00","86.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","106,674,026.67","0.16","106,674,026.67","3,231,567.00","33.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRNX","CRINETICS PHARMACEUTICALS INC","Health Care","Equity","105,977,909.07","0.16","105,977,909.07","1,974,621.00","53.67","United States","NASDAQ","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","105,903,090.24","0.16","105,903,090.24","3,126,752.00","33.87","United States","NASDAQ","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","105,495,760.20","0.16","105,495,760.20","1,174,132.00","89.85","United States","NASDAQ","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","104,591,161.32","0.16","104,591,161.32","4,815,431.00","21.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTEN","PATTERSON UTI ENERGY INC","Energy","Equity","104,382,894.25","0.16","104,382,894.25","10,183,697.00","10.25","United States","NASDAQ","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","103,954,111.31","0.16","103,954,111.31","994,681.00","104.51","United States","NASDAQ","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","103,667,556.80","0.16","103,667,556.80","3,357,110.00","30.88","United States","NASDAQ","USD","1.00","USD","-"
"RDNT","RADNET INC","Health Care","Equity","103,347,011.82","0.16","103,347,011.82","1,682,902.00","61.41","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","102,890,942.55","0.16","102,890,942.55","1,367,685.00","75.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","Equity","102,679,922.52","0.16","102,679,922.52","1,663,641.00","61.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEM","SELECT MEDICAL HOLDINGS CORP","Health Care","Equity","102,425,229.32","0.16","102,425,229.32","2,732,068.00","37.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVNT","AVIENT CORP","Materials","Equity","102,198,171.79","0.16","102,198,171.79","2,332,759.00","43.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITGR","INTEGER HOLDINGS CORP","Health Care","Equity","101,977,282.55","0.16","101,977,282.55","848,185.00","120.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","101,165,775.66","0.15","101,165,775.66","1,765,854.00","57.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALTM","ARCADIUM LITHIUM PLC","Materials","Equity","101,102,255.52","0.15","101,102,255.52","27,473,439.00","3.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SDRL","SEADRILL LTD (HAMILTON)","Energy","Equity","100,632,686.13","0.15","100,632,686.13","1,901,241.00","52.93","Norway","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SKY","SKYLINE CHAMPION CORP","Consumer Discretionary","Equity","100,606,391.88","0.15","100,606,391.88","1,354,421.00","74.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","100,438,251.75","0.15","100,438,251.75","4,261,275.00","23.57","United States","NASDAQ","USD","1.00","USD","-"
"NOG","NORTHERN OIL AND GAS INC","Energy","Equity","99,797,899.32","0.15","99,797,899.32","2,527,809.00","39.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","99,631,381.50","0.15","99,631,381.50","3,227,450.00","30.87","United States","NASDAQ","USD","1.00","USD","-"
"GPI","GROUP AUTOMOTIVE INC","Consumer Discretionary","Equity","99,572,790.24","0.15","99,572,790.24","337,512.00","295.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","99,332,409.62","0.15","99,332,409.62","1,402,802.00","70.81","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","99,227,034.71","0.15","99,227,034.71","3,829,681.00","25.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","99,151,455.15","0.15","99,151,455.15","1,032,505.00","96.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","99,016,709.31","0.15","99,016,709.31","1,509,171.00","65.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEO","AMERICAN EAGLE OUTFITTERS INC","Consumer Discretionary","Equity","98,496,494.65","0.15","98,496,494.65","4,652,645.00","21.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HRI","HERC HOLDINGS INC","Industrials","Equity","98,430,783.48","0.15","98,430,783.48","720,999.00","136.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STNE","STONECO LTD CLASS A","Financials","Equity","98,323,093.11","0.15","98,323,093.11","7,299,413.00","13.47","United States","NASDAQ","USD","1.00","USD","-"
"RIG","TRANSOCEAN LTD","Energy","Equity","98,132,791.30","0.15","98,132,791.30","18,515,621.00","5.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASO","ACADEMY SPORTS AND OUTDOORS INC","Consumer Discretionary","Equity","97,944,145.53","0.15","97,944,145.53","1,843,481.00","53.13","United States","NASDAQ","USD","1.00","USD","-"
"DIOD","DIODES INC","Information Technology","Equity","97,756,046.80","0.15","97,756,046.80","1,158,247.00","84.40","United States","NASDAQ","USD","1.00","USD","-"
"TPH","TRI POINTE HOMES INC","Consumer Discretionary","Equity","97,589,517.04","0.15","97,589,517.04","2,369,828.00","41.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","97,479,705.60","0.15","97,479,705.60","804,288.00","121.20","United States","NASDAQ","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","97,157,731.77","0.15","97,157,731.77","573,913.00","169.29","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","96,728,442.96","0.15","96,728,442.96","3,566,683.00","27.12","United States","NASDAQ","USD","1.00","USD","-"
